NAME                                 	CHART VERSION	APP VERSION            	DESCRIPTION                                       
stable/acs-engine-autoscaler         	2.2.2        	2.1.1                  	DEPRECATED Scales worker nodes within agent pools 
stable/aerospike                     	0.3.2        	v4.5.0.5               	A Helm chart for Aerospike in Kubernetes          
stable/airflow                       	7.2.0        	1.10.10                	Airflow is a platform to programmatically autho...
stable/ambassador                    	5.3.2        	0.86.1                 	DEPRECATED A Helm chart for Datawire Ambassador   
stable/anchore-engine                	1.6.9        	0.7.2                  	Anchore container analysis and policy evaluatio...
stable/apm-server                    	2.1.5        	7.0.0                  	The server receives data from the Elastic APM a...
stable/ark                           	4.2.2        	0.10.2                 	DEPRECATED A Helm chart for ark                   
stable/artifactory                   	7.3.1        	6.1.0                  	DEPRECATED Universal Repository Manager support...
stable/artifactory-ha                	0.4.1        	6.2.0                  	DEPRECATED Universal Repository Manager support...
stable/atlantis                      	3.12.0       	v0.11.1                	A Helm chart for Atlantis https://www.runatlant...
stable/auditbeat                     	1.1.0        	6.7.0                  	A lightweight shipper to audit the activities o...
stable/aws-cluster-autoscaler        	0.3.3        	                       	Scales worker nodes within autoscaling groups.    
stable/aws-iam-authenticator         	0.1.3        	1.0                    	A Helm chart for aws-iam-authenticator            
stable/bitcoind                      	1.0.0        	0.17.1                 	Bitcoin is an innovative payment network and a ...
stable/bookstack                     	1.2.1        	0.27.5                 	BookStack is a simple, self-hosted, easy-to-use...
stable/buildkite                     	0.2.4        	3                      	DEPRECATED Agent for Buildkite                    
stable/burrow                        	1.5.2        	0.29.0                 	Burrow is a permissionable smart contract machine 
stable/centrifugo                    	3.2.0        	2.4.0                  	Centrifugo is a real-time messaging server.       
stable/cerebro                       	1.9.2        	0.9.2                  	A Helm chart for Cerebro - a web admin tool tha...
stable/cert-manager                  	v0.6.7       	v0.6.2                 	A Helm chart for cert-manager                     
stable/chaoskube                     	3.1.4        	0.14.0                 	Chaoskube periodically kills random pods in you...
stable/chartmuseum                   	2.13.0       	0.12.0                 	Host your own Helm Chart Repository               
stable/chronograf                    	1.1.1        	1.7.12                 	DEPRECATED Open-source web application written ...
stable/clamav                        	1.0.5        	1.6                    	An Open-Source antivirus engine for detecting t...
stable/cloudserver                   	1.0.4        	8.1.5                  	An open-source Node.js implementation of the Am...
stable/cluster-autoscaler            	7.3.4        	1.17.1                 	Scales worker nodes within autoscaling groups.    
stable/cluster-overprovisioner       	0.4.0        	1.0                    	Installs the a deployment that overprovisions t...
stable/cockroachdb                   	3.0.8        	19.2.5                 	DEPRECATED -- CockroachDB is a scalable, surviv...
stable/collabora-code                	1.0.6        	4.0.3.1                	A Helm chart for Collabora Office - CODE-Edition  
stable/concourse                     	8.3.7        	5.6.0                  	DEPRECATED Concourse is a simple and scalable C...
stable/consul                        	3.9.6        	1.5.3                  	Highly available and distributed service discov...
stable/contour                       	0.2.0        	v0.15.0                	Contour Ingress controller for Kubernetes         
stable/coredns                       	1.13.1       	1.7.0                  	CoreDNS is a DNS server that chains plugins and...
stable/cosbench                      	1.0.1        	0.0.6                  	A benchmark tool for cloud object storage services
stable/coscale                       	1.0.0        	3.16.0                 	CoScale Agent                                     
stable/couchbase-operator            	1.0.2        	1.2.2                  	A Helm chart to deploy the Couchbase Autonomous...
stable/couchdb                       	2.3.0        	2.3.1                  	DEPRECATED A database featuring seamless multi-...
stable/dask                          	3.1.1        	1.1.5                  	DEPRECATED Distributed computation in Python wi...
stable/dask-distributed              	2.0.2        	                       	DEPRECATED: Distributed computation in Python     
stable/datadog                       	2.3.29       	7                      	Datadog Agent                                     
stable/dex                           	2.13.0       	2.24.0                 	OpenID Connect Identity (OIDC) and OAuth 2.0 Pr...
stable/distributed-jmeter            	1.0.1        	3.3                    	A Distributed JMeter Helm chart                   
stable/distributed-tensorflow        	1.2.0        	1.7.0                  	A Helm chart for running distributed TensorFlow...
stable/distribution                  	0.4.2        	1.1.0                  	DEPRECATED A Helm chart for JFrog Distribution    
stable/dmarc2logstash                	1.3.1        	1.0.3                  	DEPRECATED Provides a POP3-polled DMARC XML rep...
stable/docker-registry               	1.9.4        	2.7.1                  	A Helm chart for Docker Registry                  
stable/dokuwiki                      	6.0.11       	0.20180422.201901061035	DEPRECATED DokuWiki is a standards-compliant, s...
stable/drone                         	2.7.2        	1.6.5                  	Drone is a Continuous Delivery system built on ...
stable/drupal                        	6.2.12       	8.8.3                  	DEPRECATED One of the most versatile open sourc...
stable/efs-provisioner               	0.12.1       	v2.4.0                 	A Helm chart for the AWS EFS external storage p...
stable/elastabot                     	1.2.1        	1.1.0                  	DEPRECATED A Helm chart for Elastabot - a Slack...
